file,sprite,id,kind,tier,upgrades_from,upgrades_to,rarity,status,name_key,name_en,name_ko,effect_ko,effect_en
Absolute Envy,Icon_Dagger_Tier3_D,27,weapon,3,22,,,active,Weapon_0027_Name,Absolute Envy,절대 선망,"3,4,5번째 일반 공격 피해량이 25% 증가하고, 경직 수치가 높아집니다.","The damage of the 3rd, 4th, and 5th Normal Attack is increased by 25%, and the staggering effect is enhanced."
Academy Enchanted Sword,Dagger_MagicMinor,1212,weapon,2,20,1211 1213,,active,Weapon_Dagger_FreeParry_Name,Academy Enchanted Sword,아카데미 마법검,"특수 공격: 패리의 소모 MP가 0이 되고, 특수 공격: 패리 성공 시 MP를 30% 회복합니다.","The Special Attack: Parry MP cost becomes 0, and on a successful Special Attack: Parry recover 30% MP."
Academy Magic Sword - Liberation,Dagger_Mana,1213,weapon,3,1212,,,active,Weapon_Dagger_FreeParry_MP_Name,Academy Magic Sword - Liberation,아카데미 마법검 - 해방,특수 공격: 퓨리가 특수 공격: 해방으로 변경됩니다.,Special Attack: Fury changes to Special Attack: Liberation.
Adamah’s Oath,katana_Magic_MagicBlade,414,weapon,3,412,,,active,Weapon_0414_Name,Adamah’s Oath,아다마흐의 서약,마법 사용 시 적을 향해 날아가 피해를 입히는 ‘마력 도’를 소환합니다. (피해량: 20 + 비어 있는 MP 수치의 70%),Summons a 'Magic Blade' that flies towards the enemy and deals damage when magic is used. (Damage: 20 + 70% of empty MP amount)
Adonis,Icon_Shuriken_Crit,1207,weapon,3,1206,,,active,Weapon_Dagger_Tier3_Throw_Name,Adonis,얼음새꽃,무기 공격으로 입히는 치명타 피해가 30% 증폭됩니다.,The Critical Damage dealt by Weapon Attack is amplified by 30%.
Alpine Edelweiss,Icon_Shuriken_Minor,1206,weapon,2,20,1207 1210,,active,Weapon_Dagger_Tier2_Throw_Name,Alpine Edelweiss,솜다리,무기 공격이 수리검 투척을 사용하는 형태로 변경됩니다.,Weapon Attack is changed to a form that uses Throw Shuriken.
Ancient Hammer,Icon_ShieldSword_Tier3_DragonHammer,1003,weapon,,,,,active,Weapon_DragonHammer_Name,Ancient Hammer,고대 해머,,
Arid Breeze,Icon_Dagger_Tier2_C,23,weapon,2,20,28 29,,active,Weapon_0023_Name,Arid Breeze,건조한 바람,특수 공격: 퓨리의 피해량이 20% 증가합니다.,Damage from Special Attack: Fury increases by 20%.
Armor-Bender,Katana_StoneMinor,423,weapon,2,400,424,,active,Weapon_0423_Name,Armor-Bender,절갑도,일반 공격이 방어력 수치 2당 피해량이 1% 증가합니다.,Damage dealt by Normal Attack increases by 1% for every 2 of Defense.
Ballista Sword,ShieldSword_Lightning_Ballista,1017,weapon,3,1016,,,active,Weapon_LightningSwordAndShield_T3MB_Name,Ballista Sword,발리스타 소드,아티팩트 미니 발리스타의 화살이 벽을 관통하고 적을 향해 유도됩니다. 가드 성공 시 즉시 화살을 발사합니다.,Artifact Mini Ballista's arrow pierces walls and homes in on enemies. Fires an arrow immediately on successful Block.
Beast Marks Sword 'Hou',katana_Sheath_Range,403,weapon,3,401,,,active,Weapon_0403_Name,Beast Marks Sword 'Hou',괵도 '호우',"특수 공격: 강베기의 기본 공격 속도가 24% 느려지지만 원거리의 적을 타격하고, 회피 2당 피해량이 1% 증가합니다.","Special Attack: Heavy Slash's base Attack Speed is reduced by 24%, but it can hit distant enemies. Damage increases by 1% for every 2 Evasion."
Beyond the Threshold,Icon_Dagger_Tier2_B,22,weapon,2,20,26 27,,active,Weapon_0022_Name,Beyond the Threshold,문지방 넘기,"대시 공격 시, 10초간 일반 공격 피해 +20%, 대시 공격 피해 +30% 버프를 획득합니다. 특수 공격: 퓨리가 비활성화됩니다.","Upon Dash attack, gain a buff for 10 seconds: Normal Attack damage +20% and Dash attack damage +30%. Disables Special Attack: Fury."
Black Iron Halberd,Icon_BlackHalberd,1111,weapon,3,11,,,active,WeaponGreatsword_Halberd_Black_Name,Black Iron Halberd,흑철 할버드,"특수 공격: 소용돌이 범위가 넓어집니다. 외곽에 피해를 줄 시 추가 50%의 피해를 가하고, 외곽 피해의 0.7%만큼 HP를 회복합니다.","Special Attack: Whirlwind range is increased. Deal 50% additional damage when hitting the outer area, and recover HP equal to 0.7% of outer-area damage."
Blade,katana_Tier1,400,weapon,1,,401 404 406 409 412 416 419 423,,active,Weapon_0400_Name,Blade,도,,
Blazing Helbanus,katana_Fire_Burn,407,weapon,3,406,,,active,Weapon_0407_Name,Blazing Helbanus,들끓는 헬바누스,"화상 중첩이 2 증가하고, 화염속성 피해가 4 증가합니다.","Burn stacks increases by 2, and Fire Damage increases by 4."
Blizzard’s Eve,Icon_ShieldSword_Tier3_Hammer_Ice,1015,weapon,3,1013,,,active,Weapon_Hammer_Ice_Name,Blizzard’s Eve,눈보라의 전야,대시 횟수를 소모할 시 아티팩트 눈보라 망치를 60%의 피해량으로 즉시 발동합니다.,"When Dash Count is consumed, instantly activate the Artifact Blizzard Hammer with 60% damage."
Bone Gearblade,Icon_GreatSword_Skel_Minor,1102,weapon,2,10,1103,,active,WeaponGreatsword_Bone_Name,Bone Gearblade,뼈 장치검,특수 공격: 소용돌이가 특수 공격: 재조립으로 변경됩니다.,Special Attack: Whirlwind is changed to Special Attack: Reassemble.
Bounty Hunter,Crossbow_Revolver,125,weapon,3,101,,,active,Weapon_125_Name,Bounty Hunter,현상금 사냥꾼,"탄창이 6발로 고정되고, 대시 시 즉시 재장전합니다. / 대시 공격이 비활성화되고, 대시 횟수 1당 피해량이 7% 증가합니다.","The magazine is fixed at 6 rounds and reloads instantly when using Dash. / Dash attack is disabled, and damage increases by 7% for every point of Dash Count."
Breakplate Blade,Katana_Stone,424,weapon,3,423,,,active,Weapon_0424_Name,Breakplate Blade,파갑도,납도하지 않는 동안 0.8초마다 경화 1스택을 얻습니다.,"While not Sheath, gain 1 stack of Hardening every 0.8 seconds."
Breath of Ice,Icon_ShieldStaff_Ice,1009,weapon,3,1004,,,active,Weapon_IceWand_Name,Breath of Ice,얼음의 숨결,무기 공격이 얼음속성 피해 기반으로 변경됩니다. 대시 공격의 피해량이 40% 증가합니다.,Weapon Attack is changed to be based on Cold Damage. Dash attack damage is increased by 40%.
Burning Fang,Icon_Dagger_FireBurn,1202,weapon,,,,,active,Weapon_FireDaggerBurn_Name,Burning Fang,타오르는 이빨,,
Carrot Sword,Icon_ShieldSword_Carrot_Minor,1000,weapon,2,0,1001 1019,,active,Weapon_CarrotSword_Name,Carrot Sword,당근 검,모든 속성 피해가 3씩 증가합니다.,Increases all elemental damage by 3.
Carrotcalibur,Icon_ShieldSword_Carrot,1001,weapon,3,1000,,,active,Weapon_Carrotcalibur_Name,Carrotcalibur,당근칼리버,"일반 공격이 일반 공격: 당근 검법으로 변경되고, 추가 공격 속도의 효율이 20% 상승합니다.","Normal Attack changes to Normal Attack: Carrot Sword Technique, and the efficiency of additional Attack Speed is increased by 20%."
Colossal Crossbow,Crossbow_Tier1,100,weapon,1,,101 104 106 108 110 112 119 122,,active,Weapon_0100_Name,Colossal Crossbow,대형 석궁,,
Colossal Crossbow - Acceleration Core,Crossbow_Auto,102,weapon,3,101,,,active,Weapon_0102_Name,Colossal Crossbow: Acceleration Core,대형 석궁: 가속 코어,"공격할수록 공격 속도가 쌓이며, 최대 +60%까지 기존 공격 속도에 더해집니다.","As you attack, Attack Speed stacks up, adding up to +60% to your base Attack Speed."
Colossal Crossbow - Cloud Gatherer,Crossbow_DarkCloud,115,weapon,3,110,,,active,Weapon_0115_Name,Colossal Crossbow: Cloud Gatherer,대형 석궁: 구름 포집기,'번개 화살'이 적에게 적중하면 먹구름 수치를 3개 획득합니다.,"When the 'Lightning Arrow' hits an enemy, you gain 3 Storm Cloud points."
Colossal Crossbow - Dual Rails,Crossbow_PowerShot,107,weapon,,,,,active,Weapon_0107_Name,Colossal Crossbow: Dual Rails,대형 석궁: 이중 레일,,
Colossal Crossbow - Enhanced Special Bolts,Crossbow_PowerShotMinor,106,weapon,2,100,117,,active,Weapon_0106_Name,Colossal Crossbow: Enhanced Special Bolts,대형 석궁: 특수 볼트 강화,"특수 공격: 강화 화살의 공격 범위가 더 넓어지고, 피해량이 30% 증가합니다.","The attack range of Special Attack: Power Arrow is increased, and damage is increased by 30%."
Colossal Crossbow - Equipped with Guidance Module,Crossbow_Mine,109,weapon,3,108,,,active,Weapon_0109_Name,Colossal Crossbow: Equipped with Guidance Module,대형 석궁: 유도 모듈 장착,"특수 공격의 비용이 3으로 감소하고, 추가 MP 1당 피해량이 0.9% 증가합니다. 특수 공격이 주변 적을 추적합니다.","The cost of Special Attack is reduced to 3, and damage increases by 0.9% per Additional MP. Special Attack tracks nearby enemies."
Colossal Crossbow - Expansion Device,Crossbow_Ice_Power,114,weapon,3,112,,,active,Weapon_0114_Name,Colossal Crossbow: Expansion Device,대형 석궁: 팽창 장치,서리 장막이 지속되는 동안 적들을 관통하는 동상탄환을 발사합니다. / [탄창 용량이 5발로 고정됨],Fires Frostbite projectiles that penetrate enemies while Frost Veil is active. / [Magazine Capacity is fixed at 5 rounds]
Colossal Crossbow - Explosive Device,Crossbow_SG,116,weapon,3,104,,,active,Weapon_0116_Name,Colossal Crossbow: Explosive Device,대형 석궁: 폭발 장치,일반 공격의 피해량이 10% 증가합니다.,Damage from Normal Attack is increased by 10%.
Colossal Crossbow - Fire Mine,Crossbow_MineMinor,108,weapon,2,100,109 118 124,,active,Weapon_0108_Name,Colossal Crossbow: Fire Mine,대형 석궁: 불꽃 지뢰,"무기 공격의 피해량이 20% 감소하지만, 화염속성 피해 기반으로 변경됩니다.","Damage dealt by Weapon Attack is reduced by 20%, but it is changed to Fire Damage."
Colossal Crossbow - Frost Veil,Crossbow_IceMinor,112,weapon,2,100,113 114,,active,Weapon_0112_Name,Colossal Crossbow: Frost Veil,대형 석궁: 서리 장막,특수 공격이 '서리 장막'으로 변경됩니다.,Special Attack is replaced with 'Frost Veil'.
Colossal Crossbow - Gunpowder Synthesis,Crossbow_SGRed,105,weapon,3,104,,,active,Weapon_0105_Name,Colossal Crossbow: Gunpowder Synthesis,대형 석궁: 화약초 연성,"무기 공격의 치명타 확률이 35% 증가하고, 공격이 치명타로 적중하면 탄환이 1개 충전됩니다.",Increase Critical Chance of Weapon Attack by 35% and recharge 1 bullets if the attack hits critically.
Colossal Crossbow - Mark Stabilization,Crossbow_Lightning,111,weapon,3,110,,,active,Weapon_0111_Name,Colossal Crossbow: Mark Stabilization,대형 석궁: 표식 안정화,'번개 화살' 적중 시 대상에게 감전 디버프를 부여합니다. 감전 피해가 25% 증가합니다.,Applies Electrocution debuff on hit with 'Lightning Arrow'. Electrocution damage increased by 25%.
Colossal Crossbow - Rapid Freeze Crystal,Crossbow_Ice_Ammo,113,weapon,3,112,,,active,Weapon_0113_Name,Colossal Crossbow: Rapid Freeze Crystal,대형 석궁: 급랭 결정,얼음 무구의 피해량이 20% 증가합니다.,Frost Relic damage increases by 20%.
Colossal Crossbow - Reload Device,Crossbow_Tier2,101,weapon,2,100,102 103 125,,active,Weapon_0101_Name,Colossal Crossbow: Reload Device,대형 석궁: 재장전 장치,일반 공격의 피해량이 45% 감소합니다 특수 공격이 '고급 재장전'으로 변경됩니다.,Normal Attack damage is reduced by 45% Special Attack is changed to 'Advanced Reload'.
Colossal Crossbow - Scattershot Shooter,Crossbow_SGMinor,104,weapon,2,100,105 116 127,,active,Weapon_0104_Name,Colossal Crossbow: Scattershot Shooter,대형 석궁: 산탄 격발기,"일반 공격이 일반 공격: 화약탄으로 변경되고, 피해량이 80% 증가합니다.","Normal Attack is changed to Normal Attack: Blast Shot, and damage is increased by 80%."
Colossal Crossbow - Unstable Lightning Mark,Crossbow_LightningMinor,110,weapon,2,100,111 115 126,,active,Weapon_0110_Name,Colossal Crossbow: Unstable Lightning Mark,대형 석궁: 불안정한 번개 표식,일반 공격 시 40% 확률로 '번개 화살'을 발사합니다.,"When using Normal Attack, has a 40% chance to fire 'Lightning Arrow'."
Compliance,Icon_GreatSword_Tier3_F,19,weapon,,,,,active,Weapon_0019_Name,Compliance,순종하는 자세,,
Conductor,ShieldSword_Lightning_Minor,1016,weapon,2,0,1017 1018 1028,,active,Weapon_LightningSwordAndShield_Name,Conductor,전도체,번개속성 피해가 5 증가합니다.,Lightning Damage increases by 5.
Creaking Spine,Icon_GreatSword_Skel,1103,weapon,3,1102,,,active,WeaponGreatsword_Bone2_Name,Creaking Spine,삐걱이는 척추,"'특수 공격: 재조립' 공격의 범위가 상승하며, 공격 속도가 최대 35%까지 점점 빨라집니다. (공격을 멈추면 초기화)","'Special Attack: Reassemble' attack's range increases, and Attack Speed gradually increases up to 35%. (Resets when you stop attacking)"
Creeping Despair,Icon_Dagger_Tier3_E,28,weapon,3,23,,,active,Weapon_0028_Name,Creeping Despair,기어 오는 절망,특수 공격: 퓨리의 피해량이 10% 추가로 증가합니다. / 특수 공격: 패리 성공 시 몰입이 2회 충전됩니다.,Damage of Special Attack: Fury increases by an additional 10%. / Successfully executing Special Attack: Parry will recharge Trance twice.
