file,sprite,id,kind,group,max_quantity,prices,status,name_key,name_en,name_ko,desc_en,desc_ko,unlock_en,unlock_ko
Tablet,TreeIcon_StoneTablet,0,treeshop,0,1,0,active,TreeShopItem_StoneTablet_Name,Tablet,석판,Activates the tablet.,석판이 잠금 해제됩니다.,Tablets change the level of artifacts in the direction they point. Move and rotate them to enhance your artifacts!,석판은 가리키는 방향의 아티팩트 레벨을 바꿉니다. 석판을 옮기고 회전하여 원하는 아티팩트를 강화하세요.
Rylie’s Gift,TreeIcon_Potion,1,treeshop,0,1,3,active,TreeShopItem_Potion0_Name,Rylie’s Gift,라일리의 선물,Rylie prepares something for you.,라일리가 당신을 위해 무언가를 준비합니다.,"Rylie, who is standing by the elevator, prepares a gift for you.",승강기 근처에 있는 라일리는 당신을 위한 선물을 준비합니다.
Heavy Weapon Training,TreeIcon_GreatSword,2,treeshop,0,1,2,active,TreeShopItem_GreatSword_Name,Heavy Weapon Training,묵직한 무기 수련,Undergo greatsword training with Moro.,모로와 함께 대검을 수련합니다.,Moro of the training ground to the east of the village will guide you on how to use new weapons.,마을 동쪽 훈련장의 모로는 당신에게 새로운 무기 사용법을 안내합니다.
Nimble Weapon Training,TreeIcon_Dagger,3,treeshop,0,1,8,active,TreeShopItem_Dagger_Name,Nimble Weapon Training,날렵한 무기 수련,Undergo dagger training with Moro.,모로와 함께 단검을 수련합니다.,Moro of the training ground to the east of the village will guide you on how to use new weapons.,마을 동쪽 훈련장의 모로는 당신에게 새로운 무기 사용법을 안내합니다.
Dice [4],TreeIcon_Dice,4,treeshop,0,1,6,active,TreeShopItem_RerollDice_Name,Dice,주사위,The Tree hands you a die that can reroll item rewards.,나무가 아이템 보상을 리롤할 수 있는 주사위를 건넵니다.,Dice are special currency that allow you to reroll item rewards.,주사위는 아이템 보상을 리롤할 수 있는 특별한 재화입니다.
Magic Workshop,TreeIcon_WorkShop,5,treeshop,0,1,4,active,TreeShopItem_Anvil_Name,Magic Workshop,마법 공방,Unlocks the Magic Workshop.,마법 공방을 개방합니다.,"Below the Magic School, use the Magic Workshop with Valter’s help.","마법 학교 아래, 발터의 도움을 받아 마법 공방을 이용하세요."
Home Repairs,TreeIcon_House,6,treeshop,0,1,3,active,TreeShopItem_Costume_Name,Home Repairs,집 수리,Repairs your destroyed house.,부서진 당신의 집을 수리합니다.,Work with Ken to repair your home in the center of the village.,"마을 중앙, 켄과 함께 당신의 집을 수리하세요."
Terrain Recovery,TreeIcon_Ark,7,treeshop,0,1,4,active,TreeShopItem_Ark_Name,Terrain Recovery,지형 복구,Fills in the holes in front of the Ark.,방주 앞에 생긴 구덩이를 메웁니다.,Connor is asking for your help out in front of the Ark.,방주 앞의 코너는 당신에게 도움을 요청합니다.
Dice Acquisition,TreeIcon_DiceP,9,treeshop,0,1,7,active,TreeShopItem_RewordDice_Name,Dice Acquisition,주사위 획득,Acquire dice upon defeating a boss.,보스 처치 시 주사위를 획득합니다.,Acquire 2 dice upon defeating a boss.,보스 처치 시 주사위 2개를 획득합니다.
Seed Money,TreeIcon_Leaf,10,treeshop,0,2,6 8 10 12 14,active,TreeShopItem_StartingMoney_Name,Seed Money,노잣돈,Start with basic funds.,기초 자금을 가지고 시작합니다.,You start with 200 Leaves.,기초 자금 200잎 을 가지고 시작합니다.
Chest of Possibilities,TreeIcon_CageOfPossibility,11,treeshop,0,1,12,active,TreeShopItem_Replenishment_Name,Chest of Possibilities,가능성의 함,Use  to restock items with the merchant.,를 이용해 상인에게 아이템을 입고시킵니다.,You will be able to look into other possibilities. Random items will be stocked and available for trade.,다른 선택의 가능성을 들여다볼 수 있게 됩니다. 무작위 아이템이 입고되어 거래할 수 있습니다.
Ranged Weapon Training,TreeIcon_Crossbow,12,treeshop,0,1,10,active,TreeShopItem_Crossbow_Name,Ranged Weapon Training,원거리 무기 수련,Undergo crossbow training with Moro.,모로와 함께 석궁을 수련합니다.,Moro of the training ground to the east of the village will guide you on how to use new weapons.,마을 동쪽 훈련장의 모로는 당신에게 새로운 무기 사용법을 안내합니다.
Basement,TreeIcon_Paint,13,treeshop,0,1,10,active,TreeShopItem_SalonBasement_Name,Basement,지하실,Enter the salon basement.,의상실 지하실로 들어갑니다.,Ask Salon about the basement.,살론에게 지하실에 대해 물어보세요.
Wishing Fountain,TreeIcon_LuckyFountaion,14,treeshop,0,1,3,active,TreeShopItem_DP_Name,Wishing Fountain,소원 분수,You will receive an artifact at the start of the exploration.,탐험 시작 시 아티팩트를 획득합니다.,You can obtain the desired artifact at the start of an expedition through the Wishing Fountain.,소원 분수를 통해 탐험 시작 시 원하는 아티팩트를 가져갈 수 있습니다.
Dice Transformation,TreeIcon_SephiriteDice,16,treeshop,0,1,8,active,TreeShopItem_ChangeDice_Name,Dice Transformation,주사위 변환,Receive 1 die when you forfeit the item reward.,아이템 보상 포기 시 주사위 1개를 획득합니다.,Receive 1 die when you forfeit the item reward.,아이템 보상 포기 시 주사위 1개를 획득합니다.
Sharp Weapon Training,TreeIcon_Katana,17,treeshop,0,1,10,active,TreeShopItem_Katana_Name,Sharp Weapon Training,예리한 무기 수련,Undergo blade training with Moro.,모로와 함께 도를 수련합니다.,Moro of the training ground to the east of the village will guide you on how to use new weapons.,마을 동쪽 훈련장의 모로는 당신에게 새로운 무기 사용법을 안내합니다.
Hide and Seek,TreeIcon_HideAndSeek,18,treeshop,0,1,10,active,TreeShopItem_HideAndSeek_Name,Hide and Seek,숨바꼭질,Finds the fleeing Elru.,도망가는 엘루를 찾아냅니다.,Hizo near the farm is asking for help.,농장 앞 히조가 도움을 요청합니다.
Graceful Weapon Training,TreeIcon_Staff,19,treeshop,0,1,10,active,TreeShopItem_Staff_Name,Graceful Weapon Training,유려한 무기 수련,Undergo staff training with .,와 함께 봉을 수련합니다.,Moro of the training ground to the east of the village will guide you on how to use new weapons.,마을 동쪽 훈련장의 모로는 당신에게 새로운 무기 사용법을 안내합니다.
Fruit Skewer,TreeIcon_Fruit,20,treeshop,0,1,5,active,TreeShopItem_FruitSkewer_Name,Fruit Skewer,과일 꼬치,Construct a stand where you can eat fruit skewers,과일 꼬치를 먹을 수 있는 가판대를 제작합니다.,is pestering you for a snack.,이 당신에게 간식을 재촉합니다.
Point,TreeIcon_Potential,300,treeshop,0,5,1 1 1 2 2,active,TreeShopItem_PassivePoint_Name,Point,포인트,Gain a  point.,포인트를 획득합니다.,You gained 1  point.,포인트를 1 획득했습니다.
Point [301],TreeIcon_Potential,301,treeshop,0,5,1 1 1 2 2,active,TreeShopItem_PassivePoint_Name,Point,포인트,Gain a  point.,포인트를 획득합니다.,You gained 1  point.,포인트를 1 획득했습니다.
Level Up Restoration,TreeIcon_LevelUpLife,302,treeshop,0,4,4 6 8 10,active,TreeShopItem_LevelUpHeal1_Name,Level Up Restoration,레벨업 회복,Recover  upon leveling up.,레벨업 시 를 회복합니다.,Recover  upon leveling up.,레벨업 시 를 회복합니다.
Dice,TreeIcon_DiceP,303,treeshop,1,2,3,active,TreeShopItem_RerollDice2_Name,Dice,주사위,The number of starting dice increases.,시작 주사위 개수가 증가합니다.,The number of starting dice is increased by 1.,시작 주사위 개수가 1개 증가합니다.
Expanding Pouch,TreeIcon_InventoryP,304,treeshop,0,3,4,active,TreeShopItem_InventorySlot_Name,Expanding Pouch,늘어나는 주머니,Adds additional  to your inventory.,인벤토리 이 확장됩니다.,Expands inventory by 1 .,인벤토리 이 1개 확장됩니다.
Expanding Pouch [305],TreeIcon_InventoryPP,305,treeshop,1,3,7,active,TreeShopItem_InventorySlot_Name,Expanding Pouch,늘어나는 주머니,Adds additional  to your inventory.,인벤토리 이 확장됩니다.,Expands inventory by 1 .,인벤토리 이 1개 확장됩니다.
Extra Experience Drop,TreeIcon_EXP,306,treeshop,0,1,12,active,TreeShopItem_ExpDrop_Name,Extra Experience Drop,추가 경험치 드롭,Drops additional experience.,경험치를 추가로 드롭합니다.,10% more experience drops.,경험치를 추가로 10% 더 드롭합니다.
Point [307],TreeIcon_Potential,307,treeshop,0,5,1 1 2 2 2,active,TreeShopItem_PassivePoint_Name,Point,포인트,Gain a  point.,포인트를 획득합니다.,You gained 1  point.,포인트를 1 획득했습니다.
Point [308],TreeIcon_Potential,308,treeshop,0,5,1 1 2 2 2,active,TreeShopItem_PassivePoint_Name,Point,포인트,Gain a  point.,포인트를 획득합니다.,You gained 1  point.,포인트를 1 획득했습니다.
MP Regeneration,TreeIcon_MP_Gain,309,treeshop,0,2,6 8,active,TreeShopItem_MPRegen_Name,MP Regeneration,MP 재생,Increases  Regeneration.,재생이 증가합니다.,Increases  regeneration by 3.,재생이 3 증가합니다.
Point [310],TreeIcon_Potential,310,treeshop,0,5,2 2 2 3 3,active,TreeShopItem_PassivePoint_Name,Point,포인트,Gain a  point.,포인트를 획득합니다.,You gained 1  point.,포인트를 1 획득했습니다.
Increase HP,TreeIcon_HP,311,treeshop,0,2,2 5,active,TreeShopItem_HP1_Name,Increase HP,HP 증가,Increases .,가 증가합니다.,Increases  by 5.,가 5 증가합니다.
